timestamp,id,complete,frame_count,rec_00,rec_01,rec_02,rec_03,rec_04,rec_05,rec_06,rec_FF
2026-08-04T16:53:59.590160+00:00,170,True,8,02390415EAFFFF,015573A0112500,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.689494+00:00,170,True,8,023E0415CDFFFF,015373A0114200,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.788760+00:00,170,True,8,02490415CAFFFF,015873A0114500,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.888007+00:00,170,True,8,024F04159DFFFF,015F73A0117200,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:53:59.987332+00:00,170,True,8,0256041583FFFF,015E73A0118C00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.086570+00:00,170,True,8,025604157AFFFF,015F73A0119500,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.185861+00:00,170,True,8,024E041593FFFF,015B73A0117C00,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.285160+00:00,170,True,8,024904159AFFFF,015973A0117500,00090000000000,052E000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.384425+00:00,170,True,8,02470415A5FFFF,015673A0116A00,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.483706+00:00,170,True,8,0245041598FFFF,015773A0117700,00090000000000,0548000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
2026-08-04T16:54:00.582992+00:00,170,True,8,024C04158CFFFF,015673A0118300,00090000000000,0561000000FFFF,00000000000000,00000000000000,00000000000000,00000000000000
